city ,latitude,longitude,sexo,amount_loss,time,year
Pinheiros,-23.5629633,-46.7039471,1,3000,30:00.0,2010
Sacomã,-23.6460257,-46.5974022,1,450,01:00.0,2010
Jardim Luzitania,-23.5968658,-46.6446727,1,500,01:00.0,2010
Cursino,-23.6078709,-46.6229689,0,0,45:00.0,2010
Moema,-23.6058622,-46.6642821,0,1500,17:00.0,2010
Rio Pequeno,-23.5569574,-46.7521115,0,3000,35:00.0,2010
Rio Pequeno,-23.5572256,-46.7551051,0,200,30:00.0,2010
Bela Vista,-23.5553895,-46.6533739,0,0,01:00.0,2010
Sé,-23.5389543,-46.6274353,1,400,30:00.0,2010
Vila Formosa,-23.5786729,-46.535034,1,2500,30:00.0,2010
Cangaíba,-23.4993498,-46.522171,1,9000,01:00.0,2010
Paraíso,-23.574456,-46.6415932,0,0,30:00.0,2010
Campo Belo,-23.6385581,-46.6552217,1,3000,20:00.0,2010
Jardim Oriental,-23.6408652,-46.6485932,1,28000,00:00.0,2010
Itaim Bibi,-23.584501,-46.685383,0,250,30:00.0,2010
Vila Parque Jabaquara,-23.6398071,-46.6453978,1,1000,00:00.0,2010
Cambuci,-23.5710699,-46.6129711,1,1000,01:00.0,2010
Rio Pequeno,-23.56776,-46.7448013,1,1000,00:00.0,2010
Jaguaré,-23.5476124,-46.7362883,1,30,20:00.0,2010
Jardim Paulista,-23.5697947,-46.6511236,0,500,30:00.0,2010
Consolação,-23.5522042,-46.6531489,1,1000,30:00.0,2010
Liberdade,-23.5822324,-46.637621,1,1000,34:00.0,2010
Pirituba,-23.4968803,-46.7202881,1,2500,20:00.0,2010
Perdizes,-23.5474371,-46.6892652,0,2000,01:00.0,2010
Tatuape,-23.5489697,-46.573607,1,2000,30:00.0,2010
Sé,-23.5436718,-46.6324417,1,1300,01:00.0,2010
São Domingos,-23.4750267,-46.7538392,1,200,01:00.0,2010
Campo Belo,-23.6385581,-46.6552217,1,5000,15:00.0,2010
Belém,-23.5398649,-46.5918435,0,600,59:00.0,2010
República,-23.5527833,-46.653909,1,2000,00:00.0,2010
Campo Grande,-23.6682414,-46.6953327,1,1500,10:00.0,2010
Bela Vista,-23.5515489,-46.6471577,1,100,05:00.0,2010
Sacomã,-23.6186502,-46.5934689,0,300,01:00.0,2010
São Paulo,-23.5632514,-46.6120641,0,2240,12:00.0,2010
Consolação,-23.5556743,-46.6665978,1,500,10:00.0,2010
Cursino,-23.6578832,-46.6168715,1,2100,01:00.0,2010
Cursino,-23.6269187,-46.6210437,0,0,15:00.0,2010
Higienópolis,-23.537205,-46.6611377,1,0,20:00.0,2010
Perdizes,-23.5414286,-46.6782219,0,0,01:00.0,2010
República,-23.5435777,-46.6415929,1,1000,01:00.0,2010
Jabaquara,-23.641861,-46.6500179,1,1000,40:00.0,2010
Liberdade,-23.5821985,-46.6376522,0,1200,23:00.0,2010
Vila Prudente,-23.596839,-46.5810352,0,3000,15:00.0,2010
São Paulo,-23.5712272,-46.6909466,0,1500,30:00.0,2010
Jaguaré,-23.5528274,-46.7332173,1,1000,15:00.0,2010
Perdizes,-23.5350424,-46.6883468,0,1800,30:00.0,2010
Ipiranga,-23.604686,-46.6088702,1,3000,00:00.0,2010
Rio Pequeno,-23.5707485,-46.7628142,1,200,00:00.0,2010
Bela Vista,-23.5600045,-46.6542161,0,2000,50:00.0,2010
Paraíso,-23.5701773,-46.6437541,0,500,30:00.0,2010
Rio Pequeno,-23.5707327,-46.7418697,0,1700,00:00.0,2010
Butantã,-23.5696003,-46.7290136,1,3000,00:00.0,2010
Brooklin,-23.6080062,-46.6862061,0,800,15:00.0,2010
Bom Retiro,-23.519164,-46.6529683,1,3000,30:00.0,2010
Chacara Santo Antonio Z,-23.6309943,-46.7059502,1,700,30:00.0,2010
Cerqueira César,-23.5644042,-46.6666597,1,2000,01:00.0,2010
Vila Pompeia,-23.5549816,-46.659601,1,2000,25:00.0,2010
Jaguaré,-23.5581459,-46.7435884,0,0,40:00.0,2010
Paraíso,-23.5724847,-46.6413883,1,600,01:00.0,2010
Brooklin,-23.6198445,-46.6873891,0,0,40:00.0,2010
Bom Retiro,-23.5280405,-46.6392927,0,1000,15:00.0,2010
Consolação,-23.5529409,-46.65887,0,1500,01:00.0,2010
Rio Pequeno,-23.5766334,-46.7560876,0,800,00:00.0,2010
Pinheiros,-23.5652397,-46.685835,1,0,30:00.0,2010
Jardim Umarizal,-23.6189911,-46.7545341,1,1.5,35:00.0,2010
Jardim Morumbi,-23.6241835,-46.71174,1,4000,00:00.0,2010
Eldorado,-23.7188517,-46.6213006,1,0,15:00.0,2010
Parque Peruche,-23.4948495,-46.6537651,0,0,45:00.0,2010
Saúde,-23.618957,-46.6124599,0,0,30:00.0,2010
Morumbi,-23.620229,-46.7001293,0,6000,00:00.0,2010
Morro dos Ingleses,-23.5608334,-46.6469973,1,3000,00:00.0,2010
Vila Moraes,-23.6332932,-46.61390595,1,100,38:00.0,2010
Jardim Peri,-23.46252973,-46.63764518,0,800,55:00.0,2010
Lapa,-23.52278347,-46.71828261,1,20,10:00.0,2010
Bela Vista,-23.5540217,-46.6385837,1,3000,15:00.0,2010
Jardim Umarizal,-23.6199783,-46.75368,0,2500,00:00.0,2010
"Chácara Belenzinho",-23.5815394,-46.5366949,1,100,00:00.0,2010
Jardim Fraternidade,-23.6787245,-46.7740153,1,1700,15:00.0,2010
Santana,-23.4964967,-46.6225329,1,600,19:00.0,2010
Jardim Dona Sinha,-23.5998111,-46.5115992,1,0,30:00.0,2010
Perdizes,-23.53899143,-46.67339969,1,0,00:00.0,2010
Vila dos Remedios,-23.5147697,-46.7522997,1,35,15:00.0,2010
Canindé,-23.5470453,-46.6293736,1,500,30:00.0,2010
Piqueri,-23.50315527,-46.70896042,1,600,35:00.0,2010
Parque Novo Mundo,-23.51463629,-46.57461997,1,550,00:00.0,2010
Santana,-23.6722748,-46.5147867,0,1400,00:00.0,2010
São Paulo,-23.4792425,-46.4778119,1,1000,30:00.0,2010
São Paulo,-23.4792425,-46.4778119,1,1000,30:00.0,2010
Jardim Oriental,-23.6484583,-46.6447256,1,0,30:00.0,2010
Capão Redondo,-23.6602022,-46.7713432,0,12300,30:00.0,2010
Consolação,-23.5567037,-46.6567933,1,2000,30:00.0,2010
Centro,-23.5484362,-46.6381201,0,900,00:00.0,2010
Jardim do Colegio,-23.4873036,-46.634551,1,0,00:00.0,2010
Parque Novo Mundo,-23.51583405,-46.57354575,1,550,23:00.0,2010
São Paulo,-23.9678752,-46.3289671,0,1.5,00:00.0,2010
Parque Artur Alvim,-23.54366471,-46.47158861,1,1.2,00:00.0,2010
Jardim Meliunas,-23.49231683,-46.37363132,1,1500,00:00.0,2010
Jardim Esmeralda,-23.5757348,-46.7410974,0,3500,00:00.0,2010
Grajaú,-23.7790187,-46.6831706,0,900,45:00.0,2010
Vila Independencia,-23.5851772,-46.5586553,1,1000,45:00.0,2010
Pestana,-23.5435103,-46.7970172,0,900,30:00.0,2010
Ponte Pequena,-23.519591,-46.6188853,0,0,15:00.0,2010
Jardim America da Penha,-23.5270085,-46.5558689,0,0,00:00.0,2010
Vila Mariana,-23.57269662,-46.64407888,1,16.5,10:00.0,2010
Vila Santa Clara,-23.5808163,-46.5622927,1,40000,00:00.0,2010
Pinheiros,-23.5655867,-46.6806044,0,800,30:00.0,2010
Alto da Lapa,-23.5354882,-46.7145374,1,0,15:00.0,2010
Vila Independencia,-23.592981,-46.58970237,0,0,30:00.0,2010
Cidade Ademar,-23.6626862,-46.67725,1,100,15:00.0,2010
Vila Andrade,-23.63531933,-46.73760903,1,2.5,05:00.0,2010
Vila Olimpia,-23.6051626,-46.6758498,0,0,00:00.0,2010
Vila Mariana,-23.59706866,-46.63693833,1,1.5,38:00.0,2010
Vila Cordeiro,-23.6188331,-46.6976933,1,8000,00:00.0,2010
Vila Prudente,-23.5913895,-46.5756016,0,1000,00:00.0,2010
Bela Vista,-23.56299238,-46.64431526,0,800,00:00.0,2010
Jardim Novo Parelheiros,-23.8273687,-46.7217464,0,700,45:00.0,2010
Parque Tamari,-23.8292197,-46.7307627,1,4500,00:00.0,2010
Cidade Líder,-23.5764675,-46.4929331,1,500,00:00.0,2010
Cidade Dutra,-23.7016438,-46.7011477,1,2700,00:00.0,2010
Cidade Monções,-23.6142852,-46.6938067,0,0,00:00.0,2010
Cerqueira César,-23.5531234,-46.6547605,0,100,00:00.0,2010
Lapa,-23.5095468,-46.7055133,0,1800,00:00.0,2010
Vila Mariana,-23.58118107,-46.64737465,0,5,20:00.0,2010
Cambuci,-23.5689316,-46.6189261,1,750,00:00.0,2010
Perdizes,-23.5346197,-46.6854498,1,3000,01:00.0,2010
Vila Sônia,-23.6044139,-46.7473449,0,100,01:00.0,2010
Jardim Sao Paulo,-23.492614,-46.6165806,1,1000,00:00.0,2010
Consolacao,-23.5507107,-46.6532017,1,200,15:00.0,2010
São Paulo,-23.5586702,-46.659273,0,500,30:00.0,2010
Jardim Ponte Rasa,-23.51461415,-46.48451686,1,1000,00:00.0,2010
Bom Retiro,-23.5221974,-46.645044,1,5000,40:00.0,2010
Rio Pequeno,-23.5740204,-46.77676365,1,1100,00:00.0,2010
Bela Vista,-23.56774973,-46.64871252,1,2.5,00:00.0,2010
Jardim Vila Mariana,-23.592399,-46.6284542,1,0,15:00.0,2010
Santa Cecilia,-23.5340243,-46.6533068,1,3000,30:00.0,2010
Santa Ifigênia,-23.5405037,-46.6393298,1,0,00:00.0,2010
Vila Olimpia,-23.5963691,-46.6868073,0,0,00:00.0,2010
Consolação,-23.54366151,-46.65441448,1,400,01:00.0,2010
Vila Madalena,-23.5449917,-46.7082375,1,40000,00:00.0,2010
Lapa,-23.5183374,-46.7044436,1,8000,00:00.0,2010
Pinheiros,-23.57230787,-46.69751709,1,20,40:00.0,2010
Vila Moinho Velho,-23.6096607,-46.6053729,1,0,30:00.0,2010
Jardim Jaú (Zona Leste),-23.5181162,-46.5540786,1,4000,15:00.0,2010
Vila dos Remedios,-23.5174105,-46.7532427,1,0,00:00.0,2010
Tucuruvi,-23.47874755,-46.60168365,1,3.6,01:00.0,2010
Vila Sonia,-23.6024777,-46.7318411,1,600,15:00.0,2010
Consolação,-23.5482576,-46.6424238,1,500,15:00.0,2010
Luz,-23.5364676,-46.6333508,1,0,15:00.0,2010
Jardim America da Penha,-23.5157017,-46.5555984,0,6000,45:00.0,2010
Ferreira,-23.5986185,-46.7420604,0,1000,00:00.0,2010
Jabaquara,-23.6408378,-46.65244075,1,500,00:00.0,2010
Jardim America da Penha,-23.5157017,-46.5555984,1,7000,45:00.0,2010
Jardim Cecilia Cristina,-23.5408682,-46.8214682,1,560,00:00.0,2010
Vila Leopoldina,-23.52470186,-46.73686193,1,4.5,35:00.0,2010
Ipiranga,-23.6026007,-46.6123434,1,700,00:00.0,2010
Pirituba,-23.4816559,-46.7215721,0,50000,00:00.0,2010
Vila Antonio,-23.580163,-46.7680093,0,3000,45:00.0,2010
Butantã,-23.5719564,-46.7044971,1,700,00:00.0,2010
Vila Santa Catarina,-23.6563722,-46.6533443,0,0,00:00.0,2010
Penha de Franca,-23.5280092,-46.5488646,1,900,30:00.0,2010
Vila Beatriz,-23.5329292,-46.5418674,1,0,00:00.0,2010
Cidade Intercap,-23.6118645,-46.7788236,1,0,00:00.0,2010
"Brás",-23.5446523,-46.6071395,0,120,30:00.0,2010
Jardim Umarizal,-23.6240716,-46.7587823,0,700,00:00.0,2010
República,-23.543732,-46.6402855,0,1500,15:00.0,2010
Vila Guarani,-23.6304657,-46.6446105,0,100,30:00.0,2010
São Paulo,-23.5768486,-46.7307197,0,250,30:00.0,2010
Vila Gumercindo,-23.6098569,-46.6197237,1,2000,30:00.0,2010
Vila Elze,-23.6078449,-46.5282112,1,0,45:00.0,2010
Perdizes,-23.53550542,-46.67017601,1,7500,20:00.0,2010
Jardim Angelica,-23.4525558,-46.412576,0,300,15:00.0,2010
Jardim Almanara,-23.472359,-46.6765501,1,0,15:00.0,2010
Jardim Olympia,-23.5884675,-46.755882,1,800,30:00.0,2010
Vila Leopoldina,-23.5343525,-46.7318643,0,0,00:00.0,2010
Cidade Ariston Estela Azevedo,-23.5409427,-46.854973,1,2000,30:00.0,2010
Jardim Alvorada (Zona Oeste),-23.5956042,-46.7569291,0,0,00:00.0,2010
Vila Aricanduva,-23.5417032,-46.5345304,0,500,00:00.0,2010
Aricanduva,-23.5817181,-46.5162492,0,0,00:00.0,2010
Consolação,-23.5526592,-46.6522631,0,2000,00:00.0,2010
Pinheiros,-23.5592485,-46.6904684,1,3010,30:00.0,2010
Centro,-23.6862323,-46.6310367,1,5000,30:00.0,2010
Perus,-23.40208151,-46.74861286,0,30,53:00.0,2010
Vila Verde,-23.5170942,-46.4500116,1,19000,30:00.0,2010
Bela Vista,-23.56919455,-46.64661119,1,1.5,00:00.0,2010
Vila Mariana,-23.6030007,-46.6208918,0,2000,00:00.0,2010
Jardim Paulista,-23.5612841,-46.6518701,0,1500,00:00.0,2010
Parque Jabaquara,-23.6360736,-46.6599247,1,1000,30:00.0,2010
Vila Buarque,-23.5438029,-46.6489055,1,2050,00:00.0,2010
Vila Mariana,-23.6029923,-46.6208896,0,2000,00:00.0,2010
São Paulo,-23.560303,-46.657365,0,500,00:00.0,2010
Vila Santa Lucia,-23.51286,-46.4901273,0,550,00:00.0,2010
Sacomã,-23.620501,-46.6026287,1,2000,00:00.0,2010
Ipiranga,-23.5926366,-46.6176264,1,0,00:00.0,2010
Bela Vista,-23.5557401,-46.6502735,0,600,00:00.0,2010
Parque Jabaquara,-23.6401462,-46.6577604,0,0,00:00.0,2010
Bela Vista,-23.559573,-46.6590404,1,50,00:00.0,2010
Jardim Brasília (Zona Norte),-23.4415576,-46.707975,1,30000,00:00.0,2010
Cursino,-23.6139377,-46.6104958,1,0,15:00.0,2010
"Vila Curuçá",-23.510657,-46.4234666,1,7000,00:00.0,2010
São Judas,-23.6250805,-46.6314359,1,0,00:00.0,2010
Jardim Danfer,-23.499839,-46.506502,1,0,00:00.0,2010
Campo Belo,-23.6209872,-46.6783054,1,500,15:00.0,2010
Vila Cordeiro,-23.6185453,-46.6862712,1,0,30:00.0,2010
Jardim Ester,-23.5785096,-46.7552873,1,0,00:00.0,2010
Vila Mariana,-23.5727296,-46.6528563,0,900,00:00.0,2010
São Paulo,-23.5893571,-46.6590476,1,1000,00:00.0,2010
"Jardim Guarujá",-23.6910954,-46.7901964,1,400,00:00.0,2010
Parque da Vila Prudente,-23.5866769,-46.5739743,1,560,30:00.0,2010
Cidade Líder,-23.5551732,-46.4702764,1,800,30:00.0,2010
Jardim Londrina,-23.6275565,-46.7364399,1,0,15:00.0,2010
Parque Novo Mundo,-23.5115276,-46.5733707,1,25000,00:00.0,2010
Jardim Rizzo,-23.5728844,-46.7347769,1,1600,00:00.0,2010
Grajau,-23.7345455,-46.6928746,1,500,45:00.0,2010
Bosque da Saude,-23.6114313,-46.6361403,1,350,35:00.0,2010
Morumbi,-23.5729361,-46.7047418,0,800,55:00.0,2010
Sacomã,-23.6441858,-46.5848676,1,13373,01:00.0,2010
Brooklin,-23.6069871,-46.6880977,0,600,28:00.0,2010
Vila Mariana,-23.599669,-46.6373755,0,600,00:00.0,2010
Vila Buarque,-23.545899,-46.6449385,1,1000,00:00.0,2010
São Paulo,-23.6648069,-46.7099899,1,270,15:00.0,2010
Cidade Monções,-23.6070124,-46.6863974,1,600,45:00.0,2010
Jardim Tietê,-23.5973576,-46.4882893,1,800,21:00.0,2010
Cidade Mãe do Céu,-23.5475025,-46.5723001,1,2000,30:00.0,2010
"Chácara Califórnia",-23.5410365,-46.5484427,1,1200,00:00.0,2010
Vila Palmeiras,-23.4886833,-46.7064348,1,0,00:00.0,2010
Liberdade,-23.561575,-46.6354212,1,200,00:00.0,2010
Jardim Patente,-23.6269799,-46.5851318,0,7000,00:00.0,2010
São Paulo,-23.6295362,-46.6306746,1,0,00:00.0,2010
Centro,-23.5534754,-46.6358141,1,2000,30:00.0,2010
Butantã,-23.5723274,-46.7086138,1,1600,30:00.0,2010
Vila Palmeiras,-23.4877867,-46.7137825,1,800,00:00.0,2010
Centro,-23.5472432,-46.6386198,1,63,00:00.0,2010
Jardim Pereira Leite,-23.5038819,-46.6799016,1,900,47:00.0,2010
Rio Pequeno,-23.5685587,-46.7579988,1,1200,26:00.0,2010
Vila Paulo Silas,-23.5916371,-46.5460546,1,1200,15:00.0,2010
Vila Pompéia,-23.5338506,-46.6903236,1,40000,00:00.0,2010
Jabaquara,-23.6498152,-46.6472891,0,300,00:00.0,2010
Aclimação,-23.5700317,-46.6324817,0,0,00:00.0,2010
Liberdade,-23.5648399,-46.6305783,1,700,00:00.0,2010
São Paulo,-23.5716496,-46.7485406,0,400,30:00.0,2010
Lapa,-23.5280753,-46.6971502,1,550,00:00.0,2010
Vila Quintana,-23.7441344,-46.7039326,1,5000,00:00.0,2010
São Paulo,-23.5226668,-46.7032522,0,500,00:00.0,2010
Vila Gomes Cardim,-23.5524659,-46.5652241,1,1500,00:00.0,2010
São Paulo,-23.548551,-46.746281,1,1500,30:00.0,2010
Vila Mariana,-23.5828957,-46.6447619,0,10,30:00.0,2010
Liberdade,-23.5714151,-46.6396057,1,10500,00:00.0,2010
Itaim Bibi,-23.6092265,-46.6963685,0,900,42:00.0,2010
Butantã,-23.568762,-46.7054462,1,2000,30:00.0,2010
Ipiranga,-23.6004376,-46.5969773,1,2500,15:00.0,2010
Ipiranga,-23.594544,-46.6021057,0,300,30:00.0,2010
Liberdade,-23.5638912,-46.6337294,0,300,00:00.0,2010
Santa Cecília,-23.5428949,-46.663705,1,35000,00:00.0,2010
Consolação,-23.5480191,-46.6490354,1,1500,00:00.0,2010
Jardim Matarazzo,-23.4848694,-46.4739737,1,100,00:00.0,2010
Jardim Vila Formosa,-23.5703333,-46.5108275,0,1500,45:00.0,2010
Vila Butantã,-23.5702039,-46.7448564,0,50,00:00.0,2010
São Paulo,-23.6459464,-46.75272,1,1200,00:00.0,2010
Cachoeirinha,-23.4660421,-46.6512485,0,0,00:00.0,2010
República,-23.5448365,-46.6438402,1,2500,00:00.0,2010
Vila Nova Conceicao,-23.5917333,-46.6755619,1,5000,30:00.0,2010
Conjunto Residencial Vista Verde,-23.4780314,-46.7515955,1,5200,30:00.0,2010
Santana,-23.4915506,-46.6325666,1,950,15:00.0,2010
Tatuapé,-23.5336916,-46.5813463,1,1500,41:00.0,2010
ピリトゥバ,-23.4874099,-46.7268068,1,300,00:00.0,2010
Vila Buarque,-23.5426478,-46.6525936,0,165,00:00.0,2010
Liberdade,-23.5561359,-46.6291352,0,700,00:00.0,2010
Cidade Dutra,-23.7139605,-46.705768,0,500,45:00.0,2010
Vila Ema,-23.6024225,-46.5202263,1,500,00:00.0,2010
Liberdade,-23.5550042,-46.6352625,1,0,00:00.0,2010
"Chácara Inglesa",-23.6110988,-46.6343257,1,8000,15:00.0,2010
São Paulo,-23.523538,-46.630966,1,600,30:00.0,2010
"Brás",-23.5438493,-46.61330843,0,4.3,10:00.0,2010
Jardim Esmeralda,-23.5978225,-46.774701,0,350,15:00.0,2010
Sapopemba,-23.609894,-46.506011,1,1.2,00:00.0,2010
São Paulo,-23.633938,-46.679623,1,0,30:00.0,2010
República,-23.5474453,-46.6398485,1,1400,00:00.0,2010
Vila Maria,-23.51837476,-46.57917811,1,2.2,40:00.0,2010
Vila Maria,-23.51853453,-46.57930384,1,2,30:00.0,2010
São Paulo,-23.598678,-46.774672,1,700,45:00.0,2010
Consolação,-23.5521479,-46.655011,0,1200,00:00.0,2010
Consolação,-23.5493215,-46.6485055,1,60,00:00.0,2010
Lapa,-23.5250729,-46.69453,1,6500,00:00.0,2010
Vila da Saúde,-23.6163998,-46.6249148,0,400,00:00.0,2010
Parque dos Principes,-23.5771043,-46.7743686,0,0,00:00.0,2010
Vila Mariana,-23.5855207,-46.6460206,1,1,00:00.0,2010
Jardim Paulista,-23.559003,-46.6630644,1,0,00:00.0,2010
Vila Santana,-23.6771468,-46.6853434,1,850,00:00.0,2010
Aclimação,-23.5697222,-46.6303081,1,1200,45:00.0,2010
Morumbi,-23.611422,-46.7278749,1,4000,45:00.0,2010
São Paulo,-23.598962,-46.776117,0,500,45:00.0,2010
Pacaembú,-23.5399371,-46.6663001,1,80,45:00.0,2010
Tatuapé,-23.5388933,-46.5681268,1,250,30:00.0,2010
Vila Ester (Zona Norte),-23.4964116,-46.6470087,1,40,30:00.0,2010
Jardim das Flores,-23.5327585,-46.7921124,1,13,00:00.0,2010
Santa Ifigênia,-23.5381474,-46.6381861,0,900,00:00.0,2010
Jardim Piracuama,-23.6465561,-46.7627222,0,1,30:00.0,2010
Vila Mariana,-23.5804769,-46.6366476,1,30000,30:00.0,2010
Lapa,-23.5388024,-46.6991581,0,5000,00:00.0,2010
Jabaquara,-23.63454444,-46.6365766,1,200,40:00.0,2010
Itaim Bibi,-23.603945,-46.6805323,0,1000,15:00.0,2010
Parque Munhoz,-23.6537467,-46.7678377,0,1600,00:00.0,2010
Lapa,-23.5200668,-46.7007662,1,800,00:00.0,2010
Jurubatuba,-23.6771119,-46.70176,0,1200,45:00.0,2010
Jardim Guairaca,-23.6025785,-46.5371454,1,1500,15:00.0,2010
Bela Vista,-23.5724874,-46.6417216,0,0,45:00.0,2010
Jardim Campo Grande,-23.6793857,-46.6847797,1,500,15:00.0,2010
Cidade Antonio Estevão de Carvalho,-23.5347722,-46.4660584,0,0,00:00.0,2010
Vila Mazzei,-23.4778946,-46.6050703,1,800,00:00.0,2010
Cambuci,-23.5729401,-46.622809,0,800,00:00.0,2010
Parque Novo Santo Amaro,-23.7000093,-46.7882038,1,18000,15:00.0,2010
Bela Vista,-23.5512218,-46.6464135,1,1999,45:00.0,2010
Vila Lageado,-23.5535391,-46.7496437,1,22000,00:00.0,2010
São Paulo,-23.4047517,-46.7529117,0,15,00:00.0,2010
Jardim Panorama (Zona Leste),-23.6024476,-46.5377452,1,4000,00:00.0,2010
Pinheiros,-23.5629782,-46.6864535,1,35000,15:00.0,2010
Vila Leopoldina,-23.53325549,-46.74373271,0,600,00:00.0,2010
Vila Mariana,-23.57683074,-46.65028423,0,500,15:00.0,2010
Campo Belo,-23.6156275,-46.6689513,0,1500,15:00.0,2010
Vila Guilherme,-23.5048752,-46.6061683,1,5000,00:00.0,2010
Praia Paulistinha,-23.7158331,-46.6846918,1,2200,30:00.0,2010
Real Parque,-23.607282,-46.7042778,0,1500,00:00.0,2010
Parque Regina,-23.6359272,-46.7539164,1,300,45:00.0,2010
Penha de Franca,-23.5300697,-46.5330418,1,3100,15:00.0,2010
Parque Sao Domingos,-23.5030044,-46.7400833,0,300,00:00.0,2010
Santo Amaro,-23.63765692,-46.71914385,1,7,00:00.0,2010
Cidade Tiradentes,-23.56440976,-46.40759594,1,30,58:00.0,2010
Penha,-23.5286832,-46.49729598,1,2.5,51:00.0,2010
Penha,-23.52861135,-46.4972224,1,0,51:00.0,2010
Canindé,-23.5462668,-46.6297665,0,0,30:00.0,2010
Carrão,-23.56411369,-46.52604609,1,2.5,00:00.0,2010
Jardim Europa,-23.5767833,-46.6901555,1,25000,00:00.0,2010
Imirim,-23.4853431,-46.6495943,0,2200,00:00.0,2010
Higienópolis,-23.54534139,-46.65514927,1,400,55:00.0,2010
Sé,-23.55014476,-46.63400508,1,1.4,30:00.0,2010
Lauzane Paulista,-23.4788651,-46.6484653,0,1000,00:00.0,2010
Jardim Everest,-23.5766073,-46.7024181,1,1500,45:00.0,2010
Vila Romana,-23.5267607,-46.7006193,0,1500,15:00.0,2010
Gopouva,-23.4677083,-46.5433829,0,0,30:00.0,2010
Jardim Santa Emília,-23.6235718,-46.7622645,1,50,30:00.0,2010
Jardim Arpoador,-23.5936925,-46.7891159,1,0,30:00.0,2010
Parque Guarani,-23.5170929,-46.4655537,1,0,47:00.0,2010
Bom Retiro,-23.5254833,-46.6495323,1,0,00:00.0,2010
Vila Sao Pedro,-23.6719112,-46.68461367,1,50,12:00.0,2010
São Paulo,-23.584474,-46.7470281,0,300,00:00.0,2010
Alto da Lapa,-23.5292676,-46.7199985,1,19000,00:00.0,2010
Vila Butantã,-23.5670125,-46.7438712,1,1500,45:00.0,2010
Paraisópolis,-23.6161973,-46.7210276,1,0,00:00.0,2010
Bela Vista,-23.55571876,-46.64845549,0,700,30:00.0,2010
Vila Butantã,-23.5670125,-46.7438712,1,0,45:00.0,2010
"Várzea da Barra Funda",-23.5254883,-46.6634813,1,6,30:00.0,2010
Bela Vista,-23.5555536,-46.6469055,0,600,00:00.0,2010
Praça Desembargador Mario Píres,-23.5475666,-46.6416937,0,800,00:00.0,2010
Rudge Ramos,-23.6573902,-46.5618862,1,500,00:00.0,2010
Jardim Consorcio,-23.6717235,-46.6723627,0,0,00:00.0,2010
Vila Tramontano,-23.6152111,-46.7058182,0,1000,00:00.0,2010
Vila Guarani(Zona Sul),-23.6355362,-46.6366968,1,0,45:00.0,2010
Jardim Andarai,-23.5173998,-46.5790879,1,3500,15:00.0,2010
Liberdade,-23.5568909,-46.6270036,0,6000,00:00.0,2010
Santa Cecilia,-23.5317602,-46.6534192,1,1500,00:00.0,2010
Vila Guarani (Zona Sul),-23.6421742,-46.6321332,1,1000,45:00.0,2010
Jardim Gilda Maria,-23.5786734,-46.7791562,1,0,15:00.0,2010
Parque Sonia,-23.5016052,-46.4437564,0,200,00:00.0,2010
Campos Elíseos,-23.5326593,-46.6477718,1,300,45:00.0,2010
Bela Vista,-23.5587832,-46.63727034,1,1000,15:00.0,2010
Ipiranga,-23.58306961,-46.60587438,0,10,30:00.0,2010
Jardim Gilda Maria,-23.5786734,-46.7791562,1,0,15:00.0,2010
Jabaquara,-23.6424157,-46.6427169,0,1000,45:00.0,2010
Jardim Boa Vista (Zona Oeste),-23.58286345,-46.77972816,0,500,00:00.0,2010
Vila Yara,-23.5303738,-46.7870531,1,1000,00:00.0,2010
Butantã,-23.5598947,-46.7427886,1,2.5,30:00.0,2010
Vila Butantã,-23.5679623,-46.7450633,1,0,45:00.0,2010
Vila Maria,-23.51060726,-46.58475777,1,27,00:00.0,2010
Mirandópolis,-23.6084693,-46.6397172,1,0,45:00.0,2010
Itaim Paulista,-23.5063798,-46.36937998,1,20,33:00.0,2010
Tatuapé,-23.5401047,-46.5663456,0,800,45:00.0,2010
Vila Mariana,-23.5943479,-46.6287802,1,1400,15:00.0,2010
Saúde,-23.6190888,-46.6083465,0,2000,00:00.0,2010
Itaquera,-23.5500908,-46.4492069,1,4000,15:00.0,2010
Penha,-23.53044845,-46.49312962,1,1,35:00.0,2010
Ipiranga,-23.6011735,-46.598308,1,5000,00:00.0,2010
Bela Vista,-23.5648899,-46.6525828,1,2800,45:00.0,2010
Jabaquara,-23.6381914,-46.656401,0,200,00:00.0,2010
Aclimação,-23.5689542,-46.6294491,1,3,00:00.0,2010
República,-23.5437766,-46.6399604,1,820.58,45:00.0,2010
Vila São Luís(Zona Oeste),-23.5732847,-46.7399536,0,300,00:00.0,2010
Cursino,-23.6301071,-46.6279846,0,2000,00:00.0,2010
Parque do Lago,-23.7162763,-46.777958,1,400,00:00.0,2010
Jardim Paulista,-23.556887,-46.6637767,0,400,00:00.0,2010
Mooca,-23.5572515,-46.6184851,1,1500,00:00.0,2010
Bela Vista,-23.5744313,-46.6416209,1,1500,15:00.0,2010
Limão,-23.4930008,-46.678395,1,600,15:00.0,2010
São Paulo,-23.550717,-46.633574,1,1000,30:00.0,2010
Jardim Paulista,-23.5649832,-46.6644964,1,0,30:00.0,2010
Butantã,-23.5710326,-46.7097876,1,300,15:00.0,2010
Jardim das Vertentes,-23.5886067,-46.7428546,1,2500,00:00.0,2010
São Paulo,-23.547916,-46.639324,1,700,15:00.0,2010
